26155
0	112	0
0	35	0
1209	1319	36
2303	2392	147
5579	5665	237
7916	8030	324
9824	9881	439
10661	10786	497
19679	19748	623
21895	21950	693
0	41	0
1361	1372	42
0	14	0
1484	1588	15
0	42	0
171	1368	43
0	150	0
0	61	0
2204	2273	62
12943	13068	132
13848	13905	258
15705	15823	316
18372	18472	435
21776	21865	536
22851	22962	626
24141	24176	738
0	106	0
0	6113	0
0	118	0
277	306	119
4614	4692	149
5012	5114	228
6439	6478	331
0	6178	0
0	1719	0
16323	16389	1720
16908	17028	1787
0	576	0
0	141	0
882	957	142
2496	2574	218
0	981	0
0	171	0
17010	17190	172
34176	34350	353
36531	36570	528
0	1983	0
2307	2682	1984
2787	2934	2360
0	1014	0
2579	2687	1015
2948	3117	1124
0	2259	0
0	1176	0
0	117	0
0	1606	0
3144	3225	1607
3934	3974	1689
0	1337	0
0	176	0
0	111	0
1386	1470	112
1938	2073	197
2355	2493	333
2871	3300	472
4731	4809	902
5049	5115	981
5781	5985	1048
7137	7290	1253
8829	8937	1407
9318	9450	1516
0	131	0
831	887	132
1366	1534	189
1620	1685	358
2201	2279	424
3672	3863	503
9024	9150	695
0	683	0
5345	5459	684
5619	5792	799
8636	8742	973
10052	10189	1080
12660	12730	1218
17994	18064	1289
19756	19800	1360
20842	21008	1405
29634	29752	1572
31260	31496	1691
0	236	0
348	631	237
5293	5407	521
5567	5740	636
8584	8690	810
10000	10137	917
12608	12678	1055
17942	18012	1126
19704	19748	1197
20790	20956	1242
29582	29700	1409
31208	31553	1528
0	463	0
5125	5239	464
5399	5572	579
7128	7383	753
8416	8522	1009
9832	9969	1116
12440	12510	1254
17774	17844	1325
19536	19580	1396
20622	20788	1441
29414	29532	1608
31040	31276	1727
0	2121	0
3599	4042	2122
0	106	0
0	1122	0
0	269	0
7758	7823	270
31380	31667	336
0	642	0
1216	1669	643
0	93	0
9025	9161	94
12323	12610	231
0	98	0
2213	2323	99
3626	3740	210
3861	3972	325
5702	5839	437
6051	6193	575
30517	30607	718
41183	42475	809
0	94	0
2209	2319	95
3589	3736	206
3857	3968	354
5698	5835	466
6054	6189	604
30513	30603	740
41179	42745	831
0	89	0
2204	2314	90
3584	3731	201
3852	3963	349
